pass name,time,block_duplicate_reload,block_duplicate_spill,num_instructions,reload,spill
,s,,,,,
ocaml/stdlib/weak.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.024,0,0,3310,177,146
ocaml/stdlib/ephemeron.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.035,6,0,5187,377,320
ocaml/stdlib/camlinternalFormat.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.361,3,1,23980,1838,1241
ocaml/stdlib/printf.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.004,0,0,338,11,11
ocaml/stdlib/printexc.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.014,0,0,2347,176,142
ocaml/stdlib/arg.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.051,0,0,4755,355,316
ocaml/stdlib/fun.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.002,0,0,223,17,14
ocaml/stdlib/out_channel.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.001,0,0,140,7,6
ocaml/stdlib/effect.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.003,0,0,393,10,10
ocaml/stdlib/in_channel.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.007,0,0,864,70,57
ocaml/stdlib/gc.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.005,0,0,761,47,5
ocaml/stdlib/filename.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.062,1,0,5031,335,291
ocaml/stdlib/format.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.075,0,0,10678,421,352
ocaml/stdlib/scanf.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.150,0,0,11746,1034,706
external/gc-timings/gc_timings.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,,0,0,20,0,0
backend/asm_targets/asm_targets.ml-gen/generate/compile_phrases/regalloc/cfg/cfg_irc,,0,0,2,0,0
external/owee/compiler_owee.ml-gen/generate/compile_phrases/regalloc/cfg/cfg_irc,,0,0,2,0,0
external/owee/unix_intf.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,,0,0,2,0,0
external/owee/owee_linux_maps.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.001,0,0,242,24,23
backend/debug/dwarf/dwarf_low/dwarf_low.ml-gen/generate/compile_phrases/regalloc/cfg/cfg_irc,,0,0,2,0,0
external/owee/owee_interval_map.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.007,0,0,892,77,61
backend/debug/dwarf/dwarf_high/dwarf_high.ml-gen/generate/compile_phrases/regalloc/cfg/cfg_irc,,0,0,2,0,0
external/owee/owee_buf.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.008,0,0,859,31,26
external/owee/owee_form.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.002,0,0,335,7,7
external/owee/owee_marker.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.005,0,0,966,41,31
external/owee/owee_traverse.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.081,0,0,1473,128,106
external/owee/owee_debug_line.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.082,0,0,1819,190,113
external/owee/owee_elf_notes.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.009,0,0,1004,134,78
external/owee/owee_graph.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.030,0,0,2946,314,224
external/owee/owee_elf.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.017,0,0,2001,232,90
external/owee/owee_location.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.017,0,0,1663,105,84
external/owee/owee_macho.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.023,0,0,3794,345,207
ocaml/tools/cvt_emit.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.023,0,0,990,41,38
ocaml/tools/make_opcodes.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.022,0,0,443,30,28
tools/gen_compiler_libs_installation.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.021,0,0,610,32,33
ocaml/tools/make_opcodes.exe/regalloc/cfg/cfg_irc,0.043,28,0,3276,122,154
ocaml/tools/cvt_emit.exe/regalloc/cfg/cfg_irc,0.037,28,0,3276,122,154
tools/gen_compiler_libs_installation.exe/regalloc/cfg/cfg_irc,0.034,28,0,3276,122,154
backend/debug/dwarf/dwarf_flags/dwarf_flags.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.002,0,0,414,12,12
backend/debug/dwarf/dwarf_low/dwarf_arch_sizes.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,,0,0,2,0,0
backend/debug/dwarf/dwarf_low/dwarf_format.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,,0,0,37,0,0
backend/debug/dwarf/dwarf_low/dwarf_emittable.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,,0,0,2,0,0
backend/debug/dwarf/dwarf_low/child_determination.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,,0,0,53,2,2
backend/debug/dwarf/dwarf_low/dwarf_version.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,,0,0,79,1,1
backend/debug/dwarf/dwarf_low/initial_length.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,,0,0,58,5,2
backend/debug/dwarf/dwarf_low/unit_type.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,,0,0,51,1,1
backend/debug/dwarf/dwarf_low/aranges_table.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.001,0,0,266,22,18
backend/debug/dwarf/dwarf_low/inline_code.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,,0,0,35,1,1
backend/debug/dwarf/dwarf_low/dwarf_int.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.002,0,0,494,11,11
backend/debug/dwarf/dwarf_low/dwarf_language.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,,0,0,33,2,2
backend/debug/dwarf/dwarf_low/encoding_attribute.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,,0,0,39,1,1
backend/debug/dwarf/dwarf_low/dwarf_4/dwarf_4_range_list_entry.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.002,0,0,324,21,16
backend/debug/dwarf/dwarf_low/simple_location_description.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,,0,0,66,5,5
backend/debug/dwarf/dwarf_low/abbreviation_code.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.001,0,0,130,5,5
backend/debug/dwarf/dwarf_low/dwarf_4/dwarf_4_range_list.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.005,0,0,189,20,12
backend/debug/dwarf/dwarf_low/range_list_entry.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,,0,0,37,0,0
backend/debug/dwarf/dwarf_low/composite_location_description.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.001,0,0,109,9,8
backend/debug/dwarf/dwarf_low/location_or_range_list_table.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.007,0,0,834,63,38
backend/debug/dwarf/dwarf_low/location_or_range_list.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.001,0,0,152,12,8
backend/debug/dwarf/dwarf_low/range_list.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,,0,0,26,0,0
backend/debug/dwarf/dwarf_low/single_location_description.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,,0,0,45,0,0
backend/debug/dwarf/dwarf_low/counted_location_description.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.002,0,0,80,5,4
backend/debug/dwarf/dwarf_low/abbreviations_table_entry.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.002,0,0,248,23,10
backend/debug/dwarf/dwarf_low/address_index.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.001,0,0,235,5,5
backend/debug/dwarf/dwarf_low/range_list_table.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,,0,0,41,0,0
backend/debug/dwarf/dwarf_low/address_table.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.003,0,0,483,29,17
backend/debug/dwarf/dwarf_low/dwarf_tag.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.003,0,0,538,21,18
backend/debug/dwarf/dwarf_low/location_or_range_list_entry.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.005,0,0,729,71,31
backend/debug/dwarf/dwarf_low/location_list_entry.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,,0,0,38,0,0
backend/debug/dwarf/dwarf_low/dwarf_4/debug_ranges_table.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.001,0,0,122,9,8
backend/debug/dwarf/dwarf_low/location_list.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,,0,0,26,0,0
backend/debug/dwarf/dwarf_low/dwarf_4/dwarf_4_location_list.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.005,0,0,189,20,12
backend/debug/dwarf/dwarf_low/dwarf_4/debug_loc_table.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.001,0,0,138,7,7
backend/debug/dwarf/dwarf_low/location_list_table.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,,0,0,41,0,0
flambda_backend_flags.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.050,60,0,1862,419,440
backend/debug/dwarf/dwarf_low/debugging_information_entry.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.001,0,0,230,11,5
backend/debug/dwarf/dwarf_low/abbreviations_table.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.005,0,0,345,21,15
backend/debug/dwarf/dwarf_low/dwarf_4/dwarf_4_location_list_entry.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.003,0,0,480,38,24
backend/debug/dwarf/dwarf_low/debug_info_section.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.002,0,0,429,44,20
backend/debug/dwarf/dwarf_low/dwarf_attribute_values.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.003,0,0,759,12,10
backend/debug/dwarf/dwarf_high/assign_abbrevs.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.002,0,0,297,33,21
backend/debug/dwarf/dwarf_high/dwarf_world.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.002,0,0,334,29,10
backend/debug/dwarf/dwarf_high/proto_die.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.003,0,0,477,45,33
backend/debug/dwarf/dwarf_low/dwarf_value.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.011,0,0,2131,54,50
backend/debug/dwarf/dwarf_high/simple_location_description_lang.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.003,0,0,480,12,12
backend/debug/dwarf/dwarf_high/operator_builder.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.002,0,0,645,26,19
backend/debug/dwarf/dwarf_low/dwarf_attributes.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.006,0,0,1279,35,33
backend/debug/dwarf/dwarf_high/dwarf_attribute_helpers.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.010,0,0,2570,166,165
backend/debug/dwarf/dwarf_low/dwarf_operator.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.033,0,0,4527,263,211
flambda_backend_args.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.038,0,0,8337,329,214
opterrors.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,,0,0,6,0,0
fdo_info.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,,0,0,67,4,3
dwarf_compilation_unit.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.001,0,0,185,17,14
string_table.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.001,0,0,103,4,4
label.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,,0,0,31,0,0
stack_reg_offset.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,,0,0,66,2,2
dwarf_state.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.001,0,0,115,12,11
dwarf_name_laundry.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.001,0,0,110,10,8
zero_alloc_info.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.002,0,0,275,9,9
is_parameter.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.001,0,0,172,2,2
backend_var.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.006,0,0,564,20,14
location_tracker_formatter.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.005,0,0,693,37,29
section_table.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.002,0,0,348,15,15
symbol_entry.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.003,0,0,333,32,23
relocation_table.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.001,0,0,192,11,11
relocation_entry.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.003,0,0,304,28,15
cmmgen_state.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.003,0,0,664,25,20
reg_availability_set.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.003,0,0,554,37,26
asmlibrarian.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.008,0,0,1142,99,79
symbol_table.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.005,0,0,924,70,45
afl_instrument.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.006,0,0,714,76,54
compilenv.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.017,0,0,2126,185,133
cmm_invariants.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.005,0,0,772,59,48
cmm.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.010,0,0,1705,103,91
simd_proc.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.001,0,0,85,0,0
cfg_intf.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,,0,0,2,0,0
simd_reload.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.007,0,0,746,66,22
comballoc.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.007,0,0,661,70,54
dwarf_abstract_instances.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.004,0,0,615,60,42
deadcode.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.006,0,0,868,90,55
linear_utils.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,,0,0,38,0,0
mach.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.007,0,0,1003,57,48
dwarf_reg_locations.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.002,0,0,378,10,9
liveness.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.002,0,0,223,12,8
optmaindriver.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.012,0,0,1405,78,32
dataflow.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.009,0,0,1047,121,83
linear.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.001,0,0,228,3,3
cfg_to_linear_desc.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.001,0,0,206,1,1
x86_masm.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.063,0,0,4799,667,102
compute_ranges_intf.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,,0,0,2,0,0
stack_check.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,,0,0,24,0,0
polling.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.008,0,0,1342,97,80
split.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.011,0,0,1347,137,115
reload.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.019,0,0,1466,151,117
linscan.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.009,0,0,1112,95,74
x86_proc.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.040,0,0,4906,415,321
linear_format.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.008,0,0,686,48,29
interval.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.005,0,0,858,65,59
peephole_utils.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.001,0,0,197,9,9
reloadgen.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.010,7,0,1593,114,93
CSE_utils.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.013,0,0,2001,205,138
x86_gas.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.100,0,0,6004,740,197
x86_dsl.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.019,0,0,4538,0,0
printcmm.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.033,0,0,5165,251,226
interf.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.015,0,0,1432,118,103
printlinear.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.015,0,0,1406,112,49
select_utils.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.030,0,0,2168,227,175
simplify_terminator.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.007,0,0,1051,66,61
branch_relaxation.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.011,0,0,915,81,62
reg_with_debug_info.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.028,0,0,4574,443,325
internal_assembler.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.014,6,0,1806,199,138
CSEgen.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.018,2,0,2036,116,64
extra_debug.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.001,0,0,120,10,7
eliminate_dead_code.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.002,0,0,236,10,9
peephole_optimize.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.001,0,0,104,6,6
disconnect_block.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.004,0,0,348,42,18
cfg_comballoc.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.007,0,0,821,89,80
eliminate_dead_blocks.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.003,0,0,212,17,11
arch.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.026,0,0,3399,257,212
cfg_stack_checks.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.005,0,0,655,66,48
cfg_format.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.008,0,0,686,48,29
proc.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.036,0,0,2735,251,197
eliminate_fallthrough_blocks.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.003,0,0,348,31,16
merge_straightline_blocks.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.008,0,0,393,36,15
peephole_rules.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.012,0,0,1331,75,41
coloring.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.042,0,0,2786,281,212
cfg_liveness.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.006,0,0,274,21,14
generic_fns.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.035,0,0,5567,503,381
cfg_dominators.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.012,0,0,2037,211,144
CSE.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.002,0,0,404,31,24
spill.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.032,0,0,4031,342,229
cfg_with_infos.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.003,0,0,282,11,11
dwarf.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.008,0,0,529,53,44
dwarf_concrete_instances.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.004,0,0,390,42,27
compiler_hooks.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.002,0,0,764,3,3
available_regs.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.117,1,1,2478,305,281
optcompile.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.003,0,0,496,31,24
dwarf_variables_and_parameters.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.007,0,0,984,105,76
cfg_deadcode.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.002,0,0,190,15,9
inlined_frame_ranges.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.004,0,0,905,6,5
asmpackager.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.017,0,0,2112,178,125
available_ranges_vars.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.013,0,0,2091,187,118
reg.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.026,0,0,4970,382,321
cfg_to_linear.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.018,0,0,2319,244,157
vectorize.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.013,0,0,1736,124,81
regalloc_gi_state.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.001,0,0,146,3,3
emitaux.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.032,0,0,3533,291,229
dwarf_inlined_frames.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.012,0,0,1380,158,109
compute_ranges.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.060,0,0,3334,413,317
cfg_dataflow.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.012,0,0,1952,176,105
cfg_with_layout.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.026,0,0,3748,253,186
